SAAB TYRES,,,
K P ROAD,,,
CHARUMMOODU,,,
"Contact : 0479-2383020,9447083020",,,
Stock Summary,,,
1-Apr-2023 to 24-Apr-2023,,,
,SAAB TYRES,,
Particulars,1-Apr-2023 to 24-Apr-2023,,
,Stock details for : Our Stock with us & Third Party,,
,Closing Balance,,
,Quantity,Rate,Value
165/80R14 85T ZVTV A4 RN,7 PC,2483.66,17385.59
165/80 R14 INS TUBE,1 PC,298.90,298.90
165/80R15 86S ZVTS TT,2 PC,2697.00,5394.00
165/80 R15 INS TUBE,2 PC,381.69,763.37
165D12 LT SAVARI N8,1 PC,2257.00,2257.00
165D13LT SVR N8,4 PC,2181.75,8727.00
165D14LT SVL N8,2 PC,2891.57,5783.14
165D14LT SVR N8 97/95K,8 PC,2622.05,20976.40
165R14LT 97/95Q SMR M154 TT,2 PC,2544.74,5089.47
175/65R14 82H ZVTV-A1 TLS,6 PC,3226.59,19359.51
175/65R15 84T ZVTV A2 TL,6 PC,3204.07,19224.41
175/70R14 84H ZTX-A1 TL,1 PC,3167.00,3167.00
175/70R14 84H ZVTV TL,-2 PC,2635.00,-5270.00
175/70R14 84T ZVTV TL,4 PC,2931.25,11725.00
185/65R14 86H ZVTS A1 TL,3 PC,3073.00,9219.00
185/65R15 88H ZTX-A1 TL,10 PC,3638.88,36388.79
185/65R15 88T ZVTV-A1 STL,9 PC,3423.37,30810.33
185/70R14 88S ZV2K TL,-2 PC,2827.00,-5654.00
185/70R14 ZTX--A1 TL,7 PC,3146.46,22025.25
185D14LT 102/100K SVL N8,4 PC,3100.66,12402.64
185D14LT SVR N8 102/100K,9 PC,3342.21,30079.88
185R14LT SMR M151 TL,2 PC,3877.99,7755.97
195/55R16 87V PERFINZA TL,4 PC,5418.00,21672.00
195/65R15 91V PERFINZA CLX1 TL,-1 PC,4267.00,-4267.00
195/80D15LT SL50+ R N8,2 PC,4220.00,8440.00
195/80 R15 TUBE,-2 PC,,
195R15LT 107/105Q SMR-M160 TT,2 PC,4576.00,9152.00
195R15LT SMR-M160 TL 107/105Q,1 PC,4130.38,4130.38
195R15LT SMRM165TT 107/105Q,5 PC,4280.14,21400.68
205/65R15 94H ZTX-S TL,-1 PC,,
205/65R16 ZTX-S TL,-4 PC,4429.00,-17716.00
215/60R16 95H WST A1 TL,-1 PC,5530.00,-5530.00
215/75 R15 INS TUBE,1 PC,478.80,478.80
215/75R15LT MMT XA1 TL,2 Nos,4265.00,8530.00
215/75R15 LT TT 115/113 S M,1 PC,4300.00,4300.00
2/2.25-19 INS TUBE,-1 PC,,
235/70R16 105S WAT TL,3 PC,5246.71,15740.14
235/75R15 105S WAT TL,1 PC,4935.00,4935.00
235/75R15  WAT TT,2 PC,4386.00,8772.00
2.50-16 MOGRIP MOTO-D N6,4 PC,645.30,2581.21
2.50-16 NYLOGRIPTT PLUS N6,4 PC,590.98,2363.91
2.50-16 TUBE,7 PC,128.61,900.27
2.75-17 41P RIB N4,8 PC,712.71,5701.71
2.75-17 INS TUBE,21 PC,154.11,3236.34
2.75-17 NGP ZFS N4 TT,8 PC,768.12,6144.92
2.75-18 42P RIB N4,20 PC,821.57,16431.42
2.75-18 EZEERIDE-F N4 TT,1 PC,913.00,913.00
2.75-18 INS TUBE,75 PC,183.32,13749.28
2.75-18 MOGRIP MOTO-D-CT N6,-1 PC,,
2.75-18 MOGRIP MOTO-D N6,1 PC,969.00,969.00
2.75-18 NYLOGRIP ZFS,23 PC,851.16,19576.64
2.75-18 RIB N4 - TYRE,-2 PC,,
3.00-10 NGP PLUS N4 TL,3 PC,711.00,2133.00
3.00-10 NYLOGRIPPLUS N4,11 PC,658.65,7245.10
3.00-17  50P NGP PLUS-V2 N6,9 PC,862.89,7766.02
3.00-17 50P NGP+ V2 N6 TL,3 PC,1013.21,3039.62
3.00-17 50P NGP ZPR-C,1 PC,955.00,955.00
3.00-17 INS TUBE,17 PC,180.08,3061.43
3.00-17 MOGRIP MOTO-D N6,1 PC,856.00,856.00
3.00-18 52p Met-M+ N6 TL,5 PC,1292.00,6460.00
3.0018 52P MET-M+ N6 TT,3 PC,1158.00,3474.00
3.00-18 EZEERIDE N6 TT,2 PC,1060.11,2120.22
3.00-18 INS TUBE,55 PC,183.27,10080.00
3.00-18 MOGRIP MOTO-D N6,9 PC,1004.62,9041.54
3.00-18 NGP PLUS-V2 N6,30 PC,941.15,28234.61
3.00-18 NGP PLUS-V2 N6 TL,9 PC,1083.86,9754.71
3.00-18 TUBE,1 PC,183.27,183.27
3.25-16 INS TUBE,3 PC,183.25,549.75
3.25-16 MOGRIP MOTO-D N4,3 PC,1004.38,3013.15
3.25-19 NGP PLUS ABS N6,5 PC,1190.82,5954.11
3.25-19 NYLOGRIP PLUS N4,-1 PC,1214.77,-1214.77
3.25-19 RIB PLUS ABS N4,17 PC,1093.98,18597.65
3.25-19 TUBE,9 PC,222.31,2000.83
3.50-10 NYLOGRIP(NGE) N4,29 PC,649.99,18849.65
3.50-10 NYLOGRIPPLUS N4,29 PC,640.98,18588.41
3.50-10 UL TUBE,14 PC,148.04,2072.54
3.50-19 INS TUBE,-1 PC,,
3.50-19 NYLOGRIP PLUS N4,10 PC,1257.48,12574.83
3.50-19 TUBE,-3 PC,,
3.75-12 66E E-SAVARI N4,1 PC,815.00,815.00
3.75/4.00-12 TUBE,3 PC,168.00,504.00
4.00-10 AUTOMILER99 N6,2 PC,1066.88,2133.76
4.00-10 INS TUBE,8 PC,167.33,1338.64
400-8  76E AML99 N6,2 PC,950.72,1901.44
4.00-8 AUTOMILER84 N6,26 PC,867.03,22542.72
4.00-8 INS TUBE,-1 PC,,
4.00-8 SAVARI N6,22 PC,903.13,19868.81
4.00-8 STV TUBE,8 PC,161.18,1289.42
4.00-8 TUBE,19 PC,165.00,3135.00
4.50-10 AUTOMILER 99,3 PC,1648.86,4946.57
4.50-10 INS TUBE,69 PC,179.95,12416.54
4.50-10 SAVARI N8,14 PC,1577.50,22084.96
4.50-10 SAVARI TREK N8,-1 PC,1353.04,-1353.04
4.50-10 SVL 85E N8 TT,1 PC,1476.00,1476.00
4.50-10 TUBE,-1 PC,,
6.00-16 BIGROVER N8,2 PC,3026.00,6052.00
6.00/6.50-16 JP INS TUBE,2 PC,303.00,606.00
7.00-15 INS TUBE,-2 PC,,
7.00-15 PASS INS TUBE,10 PC,389.75,3897.46
7.00-15 PASS TUBE,2 PC,359.86,719.71
7.00-15 SM99 N10,4 PC,4939.16,19756.62
7.00-16 LT INS TUBE,5 PC,440.00,2200.00
7.00-16 LT TUBE,-1 PC,,
7.00-16 SUPERMILER99 N14,7 PC,5561.61,38931.29
7.00-16 SUPERMILER99 SV N14,-1 PC,4668.00,-4668.00
7.00/7.50-16 FLAP,-7 PC,,
7.00/7.50/8.25-16 FLAP,-3 PC,,
7.00/7.50/8.25-16 NPR INS FLAP,62 PC,236.83,14683.37
7.50-16 INS TUBE,-3 PC,,
7.50-16 SM909 N16,5 PC,6616.65,33083.25
7.50-16 SM99 N16,6 PC,6388.21,38329.23
7.50 16 SM 99 N16 DA,-1 PC,,
7.50-16 TLC INS TUBE,17 PC,463.00,7871.00
7.50-16 TLC TUBE,5 PC,453.65,2268.27
7.50/8.25-20 NPR INS FLAP,2 PC,281.64,563.28
80/100-17 46P NGP ZFS1 TL,4 PC,976.13,3904.53
80/100-17 53P NGP ZYM,2 PC,650.00,1300.00
80/100-17 INS TUBE,3 PC,100.00,300.00
80/100-18 47P NGP ZFS TL,17 PC,1025.35,17430.99
80/100-18 54P NGP ZRY TL,3 PC,1106.00,3318.00
80/100-18 EZEERIDE-F TL,2 PC,1135.67,2271.33
8.25-16 INS TUBE,19 PC,527.84,10028.96
8.25-16 SL50 + R N16,6 PC,7950.32,47701.92
8.25-16 SUPERMILER99 N16,8 PC,7089.67,56717.39
8.25-16 TUBE,2 PC,528.00,1056.00
8.25-20 INS TUBE,4 PC,694.75,2779.00
8.25-20 SL50 PLUS -R N16,2 PC,10731.00,21462.00
8.25-20 SUPERMILER909 N16,2 PC,8647.23,17294.45
9.00-20 SUPERMILER99 N16,2 PC,10961.50,21923.00
9.00-20 TU INS TUBE,2 PC,775.00,1550.00
90/100-10 53J MGP MOTO-D TL,17 PC,837.18,14232.10
90/100-10 53J NGRIP FE TT,-2 PC,548.44,-1096.88
90/100-10 INS TUBE,-7 PC,,
90/100-10 MGP METEOR-M1 TL,-2 PC,,
90/100-10 MGP MET-M TL,19 PC,881.22,16743.25
90/100-10 NGP FE  PLUS TT,96 PC,703.94,67578.01
90/100-10 NGP FE+TL 53J,93 PC,769.83,71593.74
90/100-10 NGP ZPR-CT N4,-1 PC,,
90/100-10 NGP ZPR N4,60 PC,771.85,46310.85
90/100-10 NGP ZPR N4 TL,77 PC,845.21,65080.94
90/100-10 TUBE,68 PC,149.97,10198.00
90/100-10 ZAPPER-C1 TL,85 PC,856.56,72807.71
90/80-17 46P NGP ZFY1 TL,1 PC,898.00,898.00
90/90-12 54J NGP FE TL,-1 PC,,
90/90-12 54J NGP ZFG,11 PC,739.27,8131.92
90/90-12 54J  NGP ZFG TL,29 PC,813.26,23584.40
90/90-12 MGP METEOR-M TL,7 PC,875.44,6128.10
90/90-12NGP PLUS V2 TL,4 PC,834.30,3337.20
90/90-12 TUBE,26 PC,162.06,4213.63
90/90-17 49P ZFS TL EXP,7 PC,1067.69,7473.84
90/90-17 TUBE,-1 PC,,
90/90-18  51P NGP ZRP TL,1 PC,1111.00,1111.00
90/90-18 51P ZPR KURVE-F TL,3 PC,1085.63,3256.88
90/90-19 52P NGP ZFM TT,16 PC,1146.55,18344.85
90/90-19 INS TUBE,22 PC,192.37,4232.07
90/90-19 TUBE,-1 PC,,
90/90-21 54H MGP MET-FM TT,1 PC,1695.00,1695.00
90/90-21 INS TUBE,1 PC,195.00,195.00
9/10.00-20 BS INS FLAP,45 PC,370.23,16660.38
LT 145/80R12 INS TUBE,44 PC,254.67,11205.44
LT155/80D12 SAVARI N8,-2 PC,1524.00,-3048.00
LT155D12 INS TUBE,25 PC,202.24,5056.00
LT165D12 INS TUBE,2 PC,223.08,446.16
LT165D13 INS TUBE,4 PC,240.40,961.60
LT165D14 INS TUBE,22 PC,265.04,5830.91
LT185D14 INS TUBE,16 PC,273.51,4376.13
LT185D14 TUBE,2 PC,281.00,562.00
LT 195/80 D15 INS TUBE,22 PC,309.93,6818.44
LT195/80D15 SL50 N8,1 PC,3852.51,3852.51
LT195/80D15 SM909 N8,4 PC,3951.32,15805.28
LT 195/80 R15 INS TUBE,2 PC,372.37,744.73
LT 195D14 INS TUBE,-1 PC,,
LT 215/80 D14 INS TUBE,2 PC,314.31,628.61
LT215/80D14 SML N10,2 PC,3485.00,6970.00
LT 235/75 R15 INS TUBE,2 PC,495.00,990.00
Grand Total,,,2710871.59
